2016-06-08 20:30:29 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-08 20:30:29 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-08 20:30:29 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-08 20:30:29 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-08 20:30:29 upgrade libexpat1-dev:amd64 2.1.0-6+deb8u1 2.1.0-6+deb8u3
2016-06-08 20:30:29 status half-configured libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:29 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:29 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-08 20:30:30 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-08 20:30:30 upgrade libexpat1:amd64 2.1.0-6+deb8u1 2.1.0-6+deb8u3
2016-06-08 20:30:30 status half-configured libexpat1:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status unpacked libexpat1:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status half-installed libexpat1:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status half-installed libexpat1:amd64 2.1.0-6+deb8u1
2016-06-08 20:30:30 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2016-06-08 20:30:30 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2016-06-08 20:30:30 upgrade libgd-dev:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-08 20:30:30 status half-configured libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 status unpacked libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 upgrade libgd2-xpm-dev:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-08 20:30:30 status half-configured libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 upgrade libgd3:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-08 20:30:30 status half-configured libgd3:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd3:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd3:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status half-installed libgd3:amd64 2.1.0-5+deb8u1
2016-06-08 20:30:30 status unpacked libgd3:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 status unpacked libgd3:amd64 2.1.0-5+deb8u3
2016-06-08 20:30:30 upgrade libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4 2.31.1-2+deb8u5
2016-06-08 20:30:30 status half-configured libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-08 20:30:30 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-08 20:30:30 status half-installed libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-08 20:30:30 status half-installed libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-08 20:30:31 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u5
2016-06-08 20:30:31 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u5
2016-06-08 20:30:31 upgrade libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4 2.31.1-2+deb8u5
2016-06-08 20:30:31 status half-configured libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-08 20:30:31 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-08 20:30:31 status half-installed libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
